iter	Passed	Remaining
0	4	1263
1	8	1203
2	11	1163
3	15	1162
4	19	1169
5	24	1180
6	27	1171
7	32	1174
8	36	1173
9	40	1164
10	45	1182
11	49	1179
12	52	1165
13	56	1163
14	60	1158
15	65	1155
16	69	1159
17	73	1151
18	78	1153
19	82	1150
20	85	1142
21	89	1136
22	93	1127
23	97	1123
24	101	1121
25	106	1118
26	110	1113
27	113	1106
28	117	1100
29	121	1095
30	125	1089
31	129	1084
32	133	1079
33	137	1076
34	141	1072
35	146	1073
36	150	1069
37	154	1061
38	158	1057
39	161	1050
40	165	1045
41	169	1039
42	172	1033
43	176	1028
44	180	1021
45	184	1018
46	188	1013
47	192	1010
48	196	1006
49	200	1000
50	204	996
51	208	992
52	211	987
53	215	981
54	219	977
55	223	973
56	227	967
57	230	962
58	234	958
59	238	954
60	242	949
61	247	948
62	251	944
63	254	939
64	258	934
65	262	930
66	266	927
67	270	921
68	274	917
69	278	913
70	281	909
71	285	905
72	289	900
73	293	897
74	297	892
75	301	887
76	305	883
77	309	880
78	312	875
79	316	870
80	320	866
81	324	863
82	328	859
83	333	856
84	337	853
85	341	848
86	345	845
87	349	841
88	353	838
89	357	834
90	361	829
91	365	825
92	368	821
93	373	817
94	377	814
95	381	809
96	384	805
97	388	801
98	393	798
99	397	794
100	401	790
101	404	786
102	408	781
103	412	777
104	416	773
105	420	768
106	423	764
107	427	760
108	431	756
109	435	751
110	439	747
111	442	743
112	446	739
113	451	735
114	454	731
115	458	727
116	462	723
117	466	720
118	470	715
119	474	711
120	477	707
121	482	703
122	486	699
123	489	695
124	492	689
125	496	685
126	500	681
127	503	676
128	507	673
129	511	669
130	515	665
131	519	661
132	523	657
133	528	654
134	531	649
135	535	645
136	539	641
137	543	637
138	547	633
139	551	630
140	555	626
141	559	622
142	563	618
143	567	614
144	571	610
145	574	606
146	578	601
147	582	597
148	585	593
149	589	589
150	593	585
151	597	581
152	601	577
153	604	573
154	608	569
155	612	565
156	616	561
157	620	557
158	624	553
159	627	549
160	631	545
161	635	541
162	639	537
163	643	533
164	647	529
165	652	526
166	655	522
167	659	518
168	663	514
169	667	510
170	671	506
171	674	502
172	678	498
173	682	494
174	686	490
175	690	486
176	694	482
177	698	478
178	702	474
179	706	470
180	710	467
181	714	463
182	718	459
183	722	455
184	726	451
185	730	447
186	733	443
187	737	439
188	741	435
189	745	431
190	748	427
191	752	423
192	756	419
193	760	415
194	764	411
195	767	407
196	771	403
197	775	399
198	779	395
199	782	391
200	787	387
201	791	383
202	794	379
203	798	375
204	802	371
205	806	367
206	810	364
207	814	360
208	818	356
209	822	352
210	826	348
211	830	344
212	834	340
213	838	337
214	842	333
215	846	329
216	850	325
217	855	321
218	859	317
219	863	313
220	867	310
221	871	306
222	875	302
223	879	298
224	883	294
225	887	290
226	891	286
227	895	282
228	899	278
229	903	274
230	907	270
231	910	266
232	914	262
233	918	259
234	922	255
235	926	251
236	930	247
237	934	243
238	938	239
239	941	235
240	945	231
241	949	227
242	953	223
243	957	219
244	961	215
245	965	211
246	969	208
247	973	204
248	977	200
249	981	196
250	985	192
251	989	188
252	993	184
253	997	180
254	1001	176
255	1005	172
256	1009	168
257	1012	164
258	1016	160
259	1020	157
260	1024	153
261	1028	149
262	1032	145
263	1036	141
264	1039	137
265	1043	133
266	1047	129
267	1052	125
268	1056	121
269	1060	117
270	1065	113
271	1069	110
272	1074	106
273	1079	102
274	1085	98
275	1089	94
276	1094	90
277	1099	86
278	1103	83
279	1108	79
280	1113	75
281	1118	71
282	1123	67
283	1128	63
284	1133	59
285	1138	55
286	1143	51
287	1147	47
288	1153	43
289	1158	39
290	1163	35
291	1167	31
292	1172	28
293	1177	24
294	1182	20
295	1186	16
296	1191	12
297	1196	8
298	1200	4
299	1205	0
